Time;Number of bytes transmitted on interface Network adapter 1
2019-03-29T02:00:00+01:00;8533
2019-03-29T03:00:00+01:00;15121
2019-03-29T04:00:00+01:00;5068
2019-03-29T05:00:00+01:00;31419
2019-03-29T06:00:00+01:00;13909
2019-03-29T07:00:00+01:00;23517
2019-03-29T08:00:00+01:00;39304
2019-03-29T09:00:00+01:00;42683
2019-03-29T10:00:00+01:00;44014
2019-03-29T11:00:00+01:00;29320
2019-03-29T12:00:00+01:00;77875
2019-03-29T13:00:00+01:00;27852
2019-03-29T14:00:00+01:00;45312
2019-03-29T15:00:00+01:00;30361
2019-03-29T16:00:00+01:00;11315
2019-03-29T17:00:00+01:00;19114
