Time;CPU usage;Used memory;Number of bytes received;Number of bytes transmitted;Average read latency of the datastore LUN_080;Average read latency of the datastore LUN_081;Average read latency of the datastore LUN_082;Average read latency of the datastore LUN_083;Average read latency of the datastore LUN_084;Average read latency of the datastore LUN_085;Average write latency of the datastore LUN_080;Average write latency of the datastore LUN_081;Average write latency of the datastore LUN_082;Average write latency of the datastore LUN_083;Average write latency of the datastore LUN_084;Average write latency of the datastore LUN_085
2019-06-27T03:50:00+02:00;9833500000;2,25E+11;1173504;13554688;3,5;0;1;2,5;0;3,5;1;1;4;0;2,5;1,5
2019-06-27T03:52:00+02:00;7549500000;2,25E+11;1496064;25122304;6;0;3;0;1,5;2,5;2;1,5;5,5;1;3,5;1
2019-06-27T03:54:00+02:00;9029000000;2,25E+11;1173504;18022400;5;0;0,5;0;0,5;3;1;0;3;1;1;1
2019-06-27T03:56:00+02:00;8799500000;2,25E+11;960512;12010496;5,5;0;1,5;0;1;6,5;1;2;3;0;1,5;1,5
2019-06-27T03:58:00+02:00;8397500000;2,25E+11;1160192;31288320;5;0;0,5;0;0;5;1;0;5;1;4;0
2019-06-27T04:00:00+02:00;9569000000;2,25E+11;1232384;23911424;6;1;2,5;0;4,5;7;2,5;1,5;3;1;3;2
2019-06-27T04:02:00+02:00;10371500000;2,25E+11;980992;16866816;6,5;1;7;0;4;3;62;4;109;0;23;3
2019-06-27T04:04:00+02:00;10939500000;2,25E+11;578560;1183744;6,5;0;2;0;1,5;11,5;20;6;22;0;9;2,5
2019-06-27T04:06:00+02:00;11376000000;2,25E+11;993792;903168;6;0;7;0;0;5,5;34;4,5;58;0;40;3
2019-06-27T04:08:00+02:00;8937000000;2,25E+11;521216;663552;7;0,5;9,5;0;1,5;5,5;21,5;3,5;36,5;11;28,5;4
2019-06-27T04:10:00+02:00;9523500000;2,25E+11;1662976;1668608;5;0;1;2;1,5;2;10,5;4;13;4,5;32,5;3
2019-06-27T04:12:00+02:00;10647000000;2,25E+11;529920;805376;6,5;0;11;0,5;1,5;8;6,5;5,5;15,5;4,5;134,5;2
2019-06-27T04:14:00+02:00;8950000000;2,25E+11;498176;1973760;5,5;0;0,5;0;1;14,5;15;2,5;18;7,5;38,5;2,5
2019-06-27T04:16:00+02:00;8867500000;2,25E+11;925696;1677312;5,5;2;1,5;0;0,5;5;48;1;2;0;9;2
2019-06-27T04:18:00+02:00;10542500000;2,25E+11;587264;1498112;7;1;4,5;1;5;5,5;28;0;15,5;2;57,5;1
2019-06-27T04:20:00+02:00;10805000000;2,25E+11;799232;3365888;6;0;4;0;1;5,5;8;2;2;5,5;54;1
2019-06-27T04:22:00+02:00;7863000000;2,25E+11;451584;3566592;8;0,5;2;0;3;6;5,5;4;12;0;29,5;3
2019-06-27T04:24:00+02:00;7846500000;2,25E+11;1127936;4174848;6;0;0;0;0;3,5;13,5;2,5;5,5;0;9,5;1
2019-06-27T04:26:00+02:00;8392000000;2,25E+11;830464;2863104;7;0;0,5;0;0,5;4;29;3,5;28;0;37,5;1
2019-06-27T04:28:00+02:00;9749500000;2,25E+11;636928;1932288;5;0;0,5;0;0;3,5;0;1;1;0;1;0,5
2019-06-27T04:30:00+02:00;8051500000;2,25E+11;515072;601088;6;0;0,5;0;1,5;11;0,5;0;2;1;10;1
2019-06-27T04:32:00+02:00;6564500000;2,25E+11;569344;689664;5;0;2;1,5;0,5;7;0,5;0;1;0,5;1,5;0,5
2019-06-27T04:34:00+02:00;7025000000;2,25E+11;595456;561152;4,5;0;0;0;0;5;0;0;1;0;1;1
2019-06-27T04:36:00+02:00;7233500000;2,25E+11;352256;294912;4,5;0;1;2;0;2,5;0,5;0;1;0;1,5;1
2019-06-27T04:38:00+02:00;9791000000;2,25E+11;726016;430592;4;1;0;0;2;3,5;0;0;1;0;1;0,5
2019-06-27T04:40:00+02:00;6791000000;2,25E+11;333824;236544;4;0;0,5;0;0,5;4,5;0;0;0,5;0;1;0
2019-06-27T04:42:00+02:00;7768500000;2,25E+11;738816;631296;6;4;0,5;0;0,5;12;0;0,5;2;0;0,5;0,5
2019-06-27T04:44:00+02:00;7070000000;2,25E+11;439296;273920;5;3,5;0,5;0;0;6;0;0,5;1;0;0;0
2019-06-27T04:46:00+02:00;6487500000;2,25E+11;564736;361984;6,5;8,5;0,5;0;36,5;5;0,5;0,5;2;0;1,5;0,5
2019-06-27T04:48:00+02:00;8116000000;2,25E+11;576512;558080;6,5;8,5;1;0;36,5;3;1;1;1;0;0;0,5
2019-06-27T04:50:00+02:00;8581000000;2,25E+11;390144;386560;6,5;1;1,5;0;0,5;5,5;0;0;1;2,5;0,5;0,5
2019-06-27T04:52:00+02:00;8723500000;2,25E+11;745472;526848;1;7;1;0;0;4,5;0;0;1;0,5;1,5;0,5
2019-06-27T04:54:00+02:00;6101500000;2,25E+11;1065984;1508352;7;0;1;0;0;4,5;0,5;0,5;1;0;1;0,5
2019-06-27T04:56:00+02:00;7525000000;2,25E+11;803328;510464;8;0;1;0;0;4;1;0,5;0,5;0;0,5;0
2019-06-27T04:58:00+02:00;7537500000;2,25E+11;700416;684544;7,5;0;0,5;1;0;4,5;0,5;0,5;0,5;0;0;0
2019-06-27T05:00:00+02:00;9306500000;2,25E+11;573440;562688;11,5;0;1;0;0;4,5;3,5;2;2;0;2,5;1
2019-06-27T05:02:00+02:00;10746500000;2,25E+11;698368;472576;12;0;0,5;0;0;5;1;0;1;0;1;1
2019-06-27T05:04:00+02:00;9831000000;2,25E+11;641536;626688;7;0;1;0;0;5;0,5;0,5;1,5;0;1;0,5
2019-06-27T05:06:00+02:00;10845500000;2,25E+11;890880;782848;6,5;0;1;0;0;4;1;5;2;1;2;0,5
2019-06-27T05:08:00+02:00;7054500000;2,25E+11;461824;446464;4,5;0;0,5;0;0;4,5;0,5;0;1;0;1,5;0,5
2019-06-27T05:10:00+02:00;7582500000;2,25E+11;603136;755200;5;0;1;0;0;6,5;3;2;1,5;0;1,5;2,5
2019-06-27T05:12:00+02:00;5668000000;2,25E+11;627712;221184;5,5;1;1;0;1;3;3,5;2,5;1,5;0;2,5;1
2019-06-27T05:14:00+02:00;9952000000;2,25E+11;596480;370176;10;1,5;0,5;0;0;7;1;0,5;1;0;1;1
2019-06-27T05:16:00+02:00;6815500000;2,25E+11;599040;713728;17,5;1,5;1;0;0;20;3,5;3;3;12;7;3
2019-06-27T05:18:00+02:00;6296500000;2,25E+11;571904;531968;5;0;2,5;0;0;5;0;0,5;1;0;0,5;0
2019-06-27T05:20:00+02:00;7252500000;2,25E+11;768512;531968;5,5;0;2,5;1;0;4;0;0;1;0;1;1
2019-06-27T05:22:00+02:00;6953500000;2,25E+11;727552;672256;13,5;0;0;0;0;10,5;1,5;2;1,5;0;6;1,5
2019-06-27T05:24:00+02:00;7478500000;2,25E+11;754688;624640;4;0;1;0;1;3,5;0;0;1;0;1;0
2019-06-27T05:26:00+02:00;6976500000;2,25E+11;481280;401408;8,5;1;3;0;1;16,5;9,5;4;6;0;5;2,5
2019-06-27T05:28:00+02:00;5590500000;2,25E+11;1090560;1089024;6;13;3;0;0;5,5;0,5;2,5;1;0;0,5;0
2019-06-27T05:30:00+02:00;7387000000;2,25E+11;484864;274432;4,5;0;0,5;0;1,5;2,5;0;0;0,5;0;0;0
2019-06-27T05:32:00+02:00;9086000000;2,25E+11;582656;659968;8,5;0;1;0;0;6;1;0,5;1;0,5;0,5;1
2019-06-27T05:34:00+02:00;8106500000;2,25E+11;636928;634368;3,5;0;1;0;0;7;0;1;2;0;1;0,5
2019-06-27T05:36:00+02:00;6584500000;2,25E+11;389120;450560;5,5;0;1,5;0;1;5;0;0;1;0;1;1
2019-06-27T05:38:00+02:00;9719000000;2,25E+11;731136;510464;9;7;3;6;11;1;0;0;2;0;1;1
2019-06-27T05:40:00+02:00;6224000000;2,25E+11;726016;351232;6,5;1,5;2;0;0;2,5;0;0,5;2;0;0,5;0,5
2019-06-27T05:42:00+02:00;8506000000;2,25E+11;738304;544256;6;1;0;3;0;2,5;0,5;0;0,5;0;0,5;0,5
2019-06-27T05:44:00+02:00;7264500000;2,25E+11;787456;331776;4;0;0,5;0;0;3,5;0,5;0;0,5;0;0;0
2019-06-27T05:46:00+02:00;8246500000;2,25E+11;571904;429056;6;0;0,5;1;30;8;0,5;0;2;13;1;1,5
2019-06-27T05:48:00+02:00;7580000000;2,25E+11;588288;469504;4;0;0;1;0;1;0;0;1;0;1;0
2019-06-27T05:50:00+02:00;6505500000;2,25E+11;481280;337408;5;0;1,5;0;0,5;4;6;0,5;2,5;0,5;6;1
2019-06-27T05:52:00+02:00;8381000000;2,25E+11;778752;512512;4,5;0;1,5;0;0,5;9;0;0;1;0;0;0
2019-06-27T05:54:00+02:00;7426000000;2,25E+11;657920;689152;5,5;0;0;0;0;2;0;0;0,5;0;1;1
2019-06-27T05:56:00+02:00;9703500000;2,25E+11;628224;526336;5;0;0;0;3;9;1;1;2,5;0;1,5;0,5
